2023,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
5,一,二,三,四,五,六,日,一,二,三,四,五,六,日,一,二,三,四,五,六,日,一,二,三,四,五,六,日,一,二,三
吳蕙瑜,on,on,on,on,on,off,off,on,on,on,on,off,on,off,on,on,on,on,on,on,on,off,off,on,on,on,on,on,on,off,on
林婉錡,on,off,on,on,on,on,off,on,on,off,on,on,on,off,on,on,off,off,on,on,off,on,on,on,on,on,off,on,on,off,on
楊工,off,on,on,off,on,on,on,on,on,on,on,off,on,on,off,on,on,on,on,off,off,on,on,on,on,off,off,off,off,on,on
王花,on,on,on,on,on,on,off,on,on,喪假,on,on,off,off,喪假,on,on,off,on,on,off,on,on,on,off,off,off,on,on,on,on
林狗,on,on,on,off,喪假,on,off,on,off,喪假,on,on,on,on,on,off,off,on,on,off,off,off,on,on,on,on,on,off,on,on,on
張水,on,on,on,on,off,on,off,on,on,on,on,on,off,off,on,on,on,off,on,off,on,off,on,on,off,on,on,off,on,on,on
徐木,off,on,on,on,on,on,off,off,off,on,on,on,on,off,on,on,on,off,on,on,on,off,on,off,on,on,off,off,off,on,on
黃皮,off,on,on,on,on,on,on,off,on,on,on,on,on,off,on,off,on,on,on,off,off,on,on,on,on,off,off,off,off,on,on
王竹,on,on,on,off,on,on,on,on,on,on,on,on,on,off,on,off,off,off,on,on,off,on,on,on,off,on,on,off,on,on,on
林金,off,on,on,on,on,on,off,off,on,on,on,on,off,on,on,on,off,on,on,on,on,on,off,on,on,on,off,off,off,off,off
